题目,朝代,作者,内容,来源,词牌
"更漏子 其二","五代","温庭筠","星斗稀，钟鼓歇，帘外晓莺残月。兰露重，柳风斜，满庭堆落花。虚阁上，倚栏望，还似去年惆怅。春欲暮，思无穷，旧欢如梦中。","chinese-poetry","更漏子"
"更漏子 其三","五代","温庭筠","金雀钗，红粉面，花里暂时相见。如我意，感君怜，此情须问天。香作穗，蜡成泪，还似两人心意。山枕腻，锦衾寒，觉来更漏残。","chinese-poetry","更漏子"
"菩萨蛮 其二","五代","温庭筠","水晶帘里玻璃枕，暖香惹梦鸳鸯锦。江上柳如烟，雁飞残月天。藕丝秋色浅，人胜参差剪。双鬓隔香红，玉钗头上风。","chinese-poetry","菩萨蛮"
"菩萨蛮 其四","五代","温庭筠","翠翘金缕双㶉鶒，水纹细起春池碧。池上海棠梨，雨晴红满枝。绣衫遮笑靥，烟草粘飞蝶。青琐对芳菲，玉关音信稀。","chinese-poetry","菩萨蛮"
"菩萨蛮 其六","五代","温庭筠","玉楼明月长相忆，柳丝袅娜春无力。门外草萋萋，送君闻马嘶。画罗金翡翠，香烛消成泪。花落子规啼，绿窗残梦迷。","chinese-poetry","菩萨蛮"
"菩萨蛮 其七","五代","温庭筠","凤凰相对盘金缕，牡丹一夜经微雨。明镜照新妆，鬓轻双脸长。画楼相望久，栏外垂丝柳。音信不归来，社前双燕回。","chinese-poetry","菩萨蛮"
"菩萨蛮 其十","五代","温庭筠","宝函钿雀金㶉鶒，沉香阁上吴山碧。杨柳又如丝，驿桥春雨时。画楼音信断，芳草江南岸。鸾镜与花枝，此情谁得知。","chinese-poetry","菩萨蛮"
"菩萨蛮 其十二","五代","温庭筠","夜来皓月才当午，重帘悄悄无人语。深处麝烟长，卧时留薄妆。当年还自惜，往事那堪忆。花落月明残，锦衾知晓寒。","chinese-poetry","菩萨蛮"
"菩萨蛮 其十四","五代","温庭筠","竹风轻动庭除冷，珠帘月上玲珑影。山枕隐秾妆，绿檀金凤凰。两蛾愁黛浅，故国吴宫远。春恨正关情，画楼残点声。","chinese-poetry","菩萨蛮"
"花间集","五代","赵崇祚","武德军节度判官司欧阳炯[1]撰镂玉雕琼[2]，拟化工[3]而迥巧；裁花剪叶，夺春艳以争鲜。是以唱云谣则金母词清[4]，挹霞醴则穆王心醉[5]。名高《白雪》[6]，声声而自合鸾歌[7]；响遏行云，字字而偏谐凤律[8]。《杨柳》《大堤》[9]之句，乐府相传；《芙蓉》《曲渚》之篇，豪家自制。莫不争高门下，三千玳帽之簪[10]；竞富尊前，数十珊瑚之树[11]。则有绮筵公子，绣幌佳人，递叶叶之花笺，文抽丽锦；举纤纤之玉指，拍按香檀[12]。不无清绝之词，用助娇娆之态。自南朝之宫体[13]，扇北里[14]之倡风。何止言之不文[15]，所谓秀而不实。有唐已降，率土之滨[16]，家家之香径春风，宁寻越艳；处处之红楼夜月，自锁嫦娥。在明皇朝[17]，则有李太白之应制[18]《清平乐》词四首，近代温飞卿复有《金筌集》，迩来[19]作者，无愧前人。今卫尉少卿字弘基[20]，以拾翠洲边，自得羽毛之异；织绡泉底，独殊机杼之功。广会众宾，时延[21]佳论。因集近来诗客曲子词[22]五百首，分为十卷。以炯[23]粗预知音，辱请命题，仍为叙引。昔郢人有歌《阳春》者，号为绝唱，乃命之为《花间集》。庶使西园[24]英哲，用姿羽盖[25]之欢；南国婵娟，休唱莲舟之引[26]。时大蜀广政三年[27]夏四月日叙。","chinese-poetry","花间集"
"菩萨蛮 其十一","五代","温庭筠","南园满地堆轻絮，愁闻一霎清明雨。雨后却斜阳，杏花零落香。无言匀睡脸，枕上屏山掩。时节欲黄昏，无聊独倚门。","chinese-poetry","菩萨蛮"
"更漏子 其六","五代","温庭筠","玉炉香，红蜡泪，偏照画堂秋思。眉黛薄，鬓云残，夜长衾枕寒。梧桐树，三更雨，不道离情正苦。一叶叶，一声声，空阶滴到明。","chinese-poetry","更漏子"
"归国遥·香玉","五代","温庭筠","香玉，翠凤宝钗垂簏簌，胜金粟，越罗春水绿。画堂照帘残烛，梦余更漏促。谢娘无限心曲，晓屏山断续。","chinese-poetry","归国遥"
"归国遥·双脸","五代","温庭筠","双脸，小凤战蓖金飐艳。舞衣无力风敛，藕丝秋色染。锦帐绣帷斜掩，露珠清晓簟。粉心黄蕊花靥，黛眉山两点。","chinese-poetry","归国遥"
"酒泉子·花映柳条","五代","温庭筠","花映柳条，闲向绿萍池上。凭栏干，窥细浪，雨萧萧。近来音信两疏索，洞房空寂寞。掩银屏，垂翠箔，度春宵。","chinese-poetry","酒泉子"
