题目,朝代,作者,内容,来源,词牌
"鹧鸪天","当代","陈永正","昨夜春从梦里归。今朝庭院见花飞。不知陌上风风雨，一笑人间事事非。青满树，草侵蹊。阴阴只是误黄鹂。任他宛转留春住，自爱南熏第一枝。初夜新樽独自开。迷离身在好楼台。酣春都幻花成雾，宴罢俄惊蜡已灰。清梦远，酒悲来。中宵风雨厉而哀。漫吟残句支无寐，不尽芳时欲绝怀。梦入南州月已低。有情碧落枉相思。微波未必因风起，绣幕依然为汝垂。司马赋，步兵诗。严霜凋蕙复何辞。危心悄坠空阶叶，一夜秋深一夜悲。一夜滩前露已霜。秋风从此萎微芳。遥知小萼终难发，肯信疏衾各自凉。双燕去，小园荒。悄分携处月昏黄。江头独对青楸路，惆怅中流一望长。","Werneror",""
"鹧鸪天","当代","魏新河","翕合灯唇送扇时，夜分心素许相期。从今薄倖难为信，自古佳人不爱诗。桃未嫁，杏先知。几回欲语却迟迟。而今须赖东风力，说道回天也是痴。曾信无缘枉作期，夜深相对泪双垂。已修一世难偿债，再造他生未了痴。君未晚，我先迟。明珠藏到必还时。也知是梦终须破，苦恨春蚕不断丝。","Werneror",""
"鹧鸪天","当代","吴金水","虫语凄清夜色寒，寂无人处遣忧端。天边尚有纤纤月，楼外犹存曲曲栏。花露重，酒杯宽，更邀素影降尘寰。相携莫问何年夕，酒不醒时梦不阑。怅望蟾宫感不禁，鹊乌不肯下云浔。难将紫陌荒唐泪，来润青天寂寞心。庭叶落，砌虫吟，人间况味是秋深。知君更在高寒里，一样清尊两处斟。","Werneror",""
"鹧鸪天","当代","卢青山","略不推延熟路车，年年岁至等归家。人间冬服层层减，山上春光日日加。红袖手，紫罗纱。游尘陌上竞喧哗。谁家冷背新林坐，独握空杯到日斜。断梦飘零不自持，今年浑似昔年时。秋风未到心先冷，沧海曾经味已知。歌沸耳，酒盈卮。消磨生日即生涯。偶然忆及中肠事，正握杯时手一迟。","Werneror",""
"鹧鸪天","当代","章士钊","一代骚心付等闲。词人枉说政无关。忍将半曲昆湖水，来比雷塘与仲山。将词话，出人间。平生恩怨未全寒。铜牛似解凄凉犯，悄向西池月下弹。词外重重事象真。词中觅句意全贫。于今清邃空高阁，还是山中有白云。诗无补，费精神。闭门正字付深论。却怜谢客池塘梦，不著遗山一辈人。","Werneror",""
"鹧鸪天","当代","张崇光","丝尽春蚕尚有丝。容华去后苦相思。负人负汝今生恨，怜我怜卿再世期。诗诵到，燕于飞。抛书长叹锁双眉。算来人世销魂处，死外伤心是别离。入梦鸳鸯总并头。被池春暖戏波游。谁知短会成长恨，却把欢情换别愁。思往事，恨悠悠。一襟红泪变江流。人间倘有相逢处，我愿千山万水求。","Werneror",""
"鹧鸪天","当代","莫德光","为道西林侧帽时。众中独我最情痴。碧桥雾夜搜奇句，虹院花朝噪艳词。人落索，事参差，心无余地种相思。劝君莫怨多情苦，到得无情苦自知。默默常如有所思。所思何事复何时。陌上花开人在远，柳梢月落夜归迟。人叵测，世难知。不愚不昧不情痴。多情自古空余恨，薄幸方今号大师。","Werneror",""
"鹧鸪天","当代","石任之","梦觉经年卧小楼。灵风未满北枝头。碧桃泥我长相忆，红杏怜渠不自由。云倒影，水东流。一生春色憾秋眸。梨花落后愁无主，怕到休时未便休。","Werneror",""
"鹧鸪天","当代","陈伟强","骨秀神清林下风，小桃枝底乍相逢。碧云袅袅月初上，绛雾濛濛春正浓。香化雨，蓓成虹。花开花落太匆匆。相思已似桃花色，泪比桃花色更红！","Werneror",""
"鹧鸪天","当代","陈振家","茂木遮天越鸟啼，万流纷注汇成溪。壑深崖陡霏烟郁，峰复路回萝茑迷。巢许恋，太憨痴，闲身空老解人稀。蓬莱悠远无从至，且卧荒山唱凤兮。","Werneror",""
"鹧鸪天","当代","秦鸿","接踵高楼一一栽。三三两两暮云呆。遥看红日仍全坠，谁信青天已半埋？浇块垒，倦形骸。怕劳鸥鹭费疑猜。不知明月存何恨，琼粉妆成海四涯。","Werneror",""
"鹧鸪天","当代","熊盛元","惨绿愁红梦寂寥，悄无人处坐吹箫。碧城十二迷双燕，弱水三千饮一瓢。星坠海，剑横霄。惊飞灵鹊不成桥。醉中懒问情何物，小帖兰亭取次描。","Werneror",""
