题目,朝代,作者,内容,来源,词牌
"赞申如兄席上口占七律，自愧","当代","张伯元","当锋不敢试，磨刃复躇踌。转眼秋风起，芦花已白头。","Werneror",""
"题景山腊梅","当代","张伯元","沉醉清风侧，天香容易得。一枝今早开，与梦同颜色。","Werneror",""
"无题","当代","蔡淑萍","城市多高楼，层层复叠叠。不识邻者谁，窗户每相接。教人慎言笑，不敢声遽发。声高扰四邻，颇为人不屑。西邻有娇女，年可十二三。美目清如水，束发才过肩。常见晨与昏，低首坐窗前。想知课业重，读写不稍闲。今朝知何故，娇女忽大哭。双手桌上拍，双脚地下蹴。阿母急抚肩，阿父眉轻蹙。乖女快噤声，齐声低语嘱。此情令我感，不觉湿双眸。羡女少拘谨，偶然得自由。我岂无可喜？我岂无可忧？喜忧难形色，怎堪为尔俦！夜梦返山林，山花满幽径。鸟啼绿树颠，涧波如鸣磬。忘形二三子，清歌杂高咏。一哭还一笑，窗白人已醒。","Werneror",""
"无题","当代","石任之","维摩多病可因依。结习年来冷故衣。渐扫落花空色界，东风何物愿无归。净土香尘四寸深。桃花泛尽杏花浔。肯将风夕潜销骨，试拟他时未染心。死生怅望不相期。怨骨成灰各自知。再世金环浑忘却，但为无事一摧眉。游丝作计罥庭柯。去去青春委碧莎。久共风前花历乱，缠绵须破茧中蛾。","Werneror",""
"无题","当代","李映斌","花气沾衣匝地闻，越溪图画奉殷勤。晓阴重叠愁千点，云鬓轻妆韵十分。欲泛烟波舟有恨，宁知蕉鹿梦如焚。春边消息同欢泣，楼外蔷薇已绝裙。穆穆苍山染黛痕，陌头万紫灼重门。残春尚有花能护，锦字初成月渐昏。不忍岁华馀绮思，剩邀鸿影慰冰魂。依依别梦蓬莱近，怕遇薰风梦不存。","Werneror",""
"无题","当代","陈伟强","华年如玉玉如烟，梦里依依寻坠钿。终古银河横碧落，至今珠泪止红莲。寒蝉饮露身逾洁，媚蝶凌风色最妍。十二曲阑香宛在，蓝桥重过思茫然。","Werneror",""
"无题","当代","徐平","十年意气苦消磨，方觉今生爱恨多。几度穷经参古寺，何曾负笈向山阿。林花谢了三春色，江浦回看一钓蓑。惭愧烟萝人不待，流光无住老维摩。","Werneror",""
"无题","当代","魏新河","自是人间有不平，尽余时日忏吾生。守恒星有来朝现，忍缺月经今夕明。再世相逢能恕我，万难兼顾只辜卿。请看无尽沣河水，不抵七年双泪倾。","Werneror",""
"无题","当代","熊盛元","雨洗瑶阶血褪红，剑光仍绕紫垣宫。三千劫尽天难老，十八年来梦渐空。隔世人惊柯烂后，返生香黯月明中。山阳笛起梅花落，酹酒招魂处处同。","Werneror",""
"无题","当代","谷海鹰","淡月怜妆浣素衣，寒门绮户共清辉。三生幻梦恩和怨，百代文章是与非。药裹吟笺消翠鬓，炉香贝叶诵春帏。庄生一曲花阴转，睡蝶惊迷带露飞。","Werneror",""
"无题","当代","顾敏燕","了无牵挂秋风爽，一窍通明百窍通。言爱言情轻若羽，修心修道势如虹。相思抛却三千结，自在凌波一叶篷。似醉如痴休笑我，莲花开处看玲珑。","Werneror",""
"无题","当代","陈忠平","久耽吟事暗思量，为酿为炊为甚忙。渐老情怀殊可惜，偶谈风月不能长。千毫已秃诗三卷，一梦犹存泪几行。收拾平生沈网海，喧嚣尘俗欲全忘。","Werneror",""
"无题","当代","张月宇","长条纤雨润如酥，照乘辉看不夜珠。箫籁未须教弄玉，指痕应已悦麻姑。草荒引凤台何在，波涌骑鲸海渐枯。十二层城回首处，轻烟犹绕旧皇都。","Werneror",""
"无题","当代","陈仁德","寂寞桃花出短墙，去年今日感崔郎。银河牛女情千缕，白露伊人水一方。前路举棋疑不定，旧游入梦极难忘。等閒识得愁滋味，倚遍栏杆夜渐凉。","Werneror",""
"无题","当代","潘乐乐","烟堤萧瑟旧亭台，人海相逢第几回。一种迷离桥上伫，三生聚散梦中来。听残碧老摇微雨，坐到红疏堕野苔。水皱山寒都负尽，看看无语各深杯。","Werneror",""
"无题","当代","陈永正","何处月明纸洞箫，东来奔浪遏回潮。珠宫贝老盘凝泪，沧海龙归雾作绡。接席佳期终不定，隔帏清坐断难招。绿华消息三山外，怅望菱枝一叶遥。","Werneror",""
